Reference,Quantity,Category,Part,Specification,Footprint or interface,Notes
U1,1,Controller,ESP32-C2 SuperMini,3.3 V logic and vendor-specific module,2x 1x07 2.54 mm headers,Verify physical pin order before assembly
U2,1,Motor driver,DRV8833 breakout module,1S compatible dual H-bridge and 3.3 V inputs,2x05 2.54 mm module header,Header contract is documented in pin-definitions
U3,1,Power regulator,3.3 V buck-boost module,Input covers 1S LiPo range and output >=500 mA,1x03 2.54 mm module header,Do not connect LiPo directly to ESP32 3V3
J4,1,Battery connector,JST-PH 2 pin,1S LiPo keyed connector,JST PH vertical 2.0 mm,Confirm polarity on battery lead
J5 J6,2,Motor connector,JST-PH 2 pin,Motor output keyed connector,JST PH vertical 2.0 mm,Swap both wires to reverse default direction
SW1,1,Power switch,SPST slide switch,>=2 A DC contact rating,2 pin through-hole custom,Must disconnect battery positive
C1,1,Decoupling capacitor,100 nF ceramic,>=10 V X7R,2.54 mm through-hole,Place at DRV8833 VM and GND
C2,1,Bulk capacitor,100 uF electrolytic,>=10 V low ESR,2.50 mm radial,Observe polarity and place at driver
M1 M2,2,Motor,N20 gearmotor,6 V 300-500 RPM,External via JST-PH,Select ratio for 32-40 mm wheels
BT1,1,Battery,1S LiPo,3.7 V nominal 500 mAh 30C or higher,External via JST-PH,Use protected charging practices
